"Table 1101. Quintiles of income before taxes: Shares of annual aggregate expenditures and sources of income, Consumer Expenditure Surveys, 2024",,,,,,,,
"(Aggregates in millions of dollars, unless otherwise indicated)",,,,,,,,
,,,,,,,,
Item,Aggregate,"Lowest
20
percent","Second
20
percent","Third
20
percent","Fourth
20
percent","Highest
20
percent",,
Apparel and services,"270,859",11.2,13.3,16.4,20.3,38.8,,
Men and boys,"63,155",10.6,13.3,15.6,20.3,40.2,,
"Men, 16 and over","50,658",10.2,14.3,15.6,21.1,38.7,,
"Boys, 2 to 15","12,496",12.0 b/,9.2 b/,15.5 b/,17.0,46.3,,
Women and girls,"100,631",11.2,13.5,16.6,20.3,38.5,,
"Women, 16 and over","85,505",11.2,13.8,16.4,20.4,38.2,,
"Girls, 2 to 15","15,125",11.2 b/,12.0 b/,17.6,19.3 b/,39.9,,
Children under 2,"10,463",5.4 e/,14.0 b/,13.1,28.4,39.1,,
Footwear,"62,401",13.1,13.0,18.0,19.5,36.5,,
Other apparel products and services,"34,211",10.9,13.0,15.5,19.6,41.1,,
,,,,,,,,
Transportation,"1,808,083",7.7,12.7,17.4,24.0,38.3,,
Vehicle purchases (net outlay),"724,541",6.4,11.0,15.3,22.3,44.9,,
"Cars and trucks, new","335,236",6.6 b/,8.0,11.0,18.9,55.5,,
"Cars and trucks, used","382,533",6.3,13.8,19.4,25.0,35.6,,
Gasoline and other fuels,"359,093",9.5,15.4,19.8,25.4,29.9,,
Gasoline,"327,284",9.8,15.7,20.1,25.4,29.0,,
Other vehicle expenses,"570,962",7.9,14.4,19.0,25.8,33.0,,
Vehicle finance charges,"56,713",4.8,11.5,17.9,30.3,35.5,,
Maintenance and repairs,"133,641",8.0,14.1,19.2,23.9,34.8,,
"Vehicle rental, leases, licenses, and other charges","110,042",6.5,10.1,16.3,26.8,40.4,,
Vehicle insurance,"270,566",9.0,16.9,20.2,25.3,28.6,,
Public and other transportation,"153,487",8.3,8.1,15.4,22.1,46.1,,
,,,,,,,,
Healthcare,"841,183",11.1,15.6,18.2,23.4,31.7,,
Health insurance,"550,473",10.6,15.8,18.8,24.3,30.5,,
Medical services,"169,926",10.6,13.6,16.9,22.2,36.9,,
Drugs,"89,181",12.6,19.6,17.3,21.3,29.2,,
Medical supplies,"31,603",18.5 b/,12.0,17.1,21.5,30.9,,
,,,,,,,,
Entertainment,"489,526",7.3,12.0,15.2,22.9,42.6,,
Fees and admissions,"126,860",4.2,6.9,11.6,22.6,54.7,,
Audio and visual equipment and services,"131,039",11.1,18.0,18.3,22.5,30.0,,
"Pets, toys, hobbies, and playground equipment","144,742",8.2,12.1,15.7,21.8,42.2,,
Pets,"119,216",8.4,12.0,15.3,22.0,42.4,,
"Toys, hobbies, and playground equipment","25,527",7.4,12.4,17.9,20.9,41.4,,
"Other entertainment supplies, equipment, and services","86,885",4.4 b/,9.9,15.1,26.0 b/,44.5,,
,,,,,,,,
Personal care products and services,"132,522",8.7,13.5,17.4,23.4,37.0,,
,,,,,,,,
Reading,"17,002",7.5,12.0,13.0,19.4,48.1,,
,,,,,,,,
Education,"213,036",10.5,5.2,9.5,17.3,57.5,,
,,,,,,,,
Tobacco products and smoking supplies,"47,832",19.3,20.4,24.6,20.5,15.2,,
,,,,,,,,
Miscellaneous,"165,352",10.2,12.6,19.1,24.0,34.2,,
,,,,,,,,
Cash contributions,"311,105",6.8,12.4,16.7,20.0,44.1,,
,,,,,,,,
